Row Labels,#,%
Toronto,3999,36%
IT Jobs,801,20%
Accounting & Finance Jobs,527,13%
Sales Jobs,353,9%
Engineering Jobs,253,6%
Hospitality & Catering Jobs,198,5%
Admin Jobs,192,5%
"PR, Advertising & Marketing Jobs",181,5%
Healthcare & Nursing Jobs,178,4%
Trade & Construction Jobs,163,4%
HR & Recruitment Jobs,136,3%
Customer Services Jobs,129,3%
Logistics & Warehouse Jobs,128,3%
Part time Jobs,120,3%
Retail Jobs,103,3%
Scientific & QA Jobs,81,2%
Manufacturing Jobs,70,2%
Creative & Design Jobs,69,2%
Teaching Jobs,61,2%
Consultancy Jobs,55,1%
Social work Jobs,48,1%
Legal Jobs,47,1%
Maintenance Jobs,33,1%
"Energy, Oil & Gas Jobs",21,1%
Domestic help & Cleaning Jobs,18,0%
Property Jobs,11,0%
Other/General Jobs,11,0%
Travel Jobs,8,0%
Graduate Jobs,4,0%
Montréal,2550,23%
Trade & Construction Jobs,794,31%
Engineering Jobs,394,15%
IT Jobs,271,11%
Admin Jobs,239,9%
Hospitality & Catering Jobs,200,8%
Accounting & Finance Jobs,112,4%
Sales Jobs,79,3%
Customer Services Jobs,64,3%
Consultancy Jobs,49,2%
Healthcare & Nursing Jobs,45,2%
"PR, Advertising & Marketing Jobs",42,2%
Logistics & Warehouse Jobs,40,2%
Part time Jobs,35,1%
Retail Jobs,33,1%
HR & Recruitment Jobs,27,1%
Scientific & QA Jobs,25,1%
Manufacturing Jobs,24,1%
Maintenance Jobs,20,1%
Other/General Jobs,19,1%
Teaching Jobs,10,0%
Creative & Design Jobs,10,0%
Social work Jobs,8,0%
Legal Jobs,4,0%
Property Jobs,4,0%
Travel Jobs,2,0%
Calgary,1900,17%
Sales Jobs,170,9%
Accounting & Finance Jobs,165,9%
Hospitality & Catering Jobs,159,8%
Engineering Jobs,154,8%
Trade & Construction Jobs,142,7%
Healthcare & Nursing Jobs,142,7%
IT Jobs,128,7%
Admin Jobs,110,6%
Retail Jobs,105,6%
Logistics & Warehouse Jobs,78,4%
Customer Services Jobs,70,4%
Teaching Jobs,70,4%
Part time Jobs,68,4%
HR & Recruitment Jobs,46,2%
